edo_id,edo_nombre,"total combinaciones"
1,Aguascalientes,16
2,"Baja California",24
3,"Baja California Sur",20
4,Campeche,9
5,Coahuila,32
6,Colima,10
7,Chiapas,12
8,Chihuahua,20
9,"Distrito Federal",75
10,Durango,9
11,Guanajuato,22
12,Guerrero,15
13,Hidalgo,16
14,Jalisco,29
15,México,60
16,Michoacán,24
17,Morelos,13
18,Nayarit,9
19,"Nuevo León",29
20,Oaxaca,19
21,Puebla,104
22,Querétaro,27
23,"Quintana Roo",27
24,"San Luis Potosí",18
25,Sinaloa,17
26,Sonora,12
27,Tabasco,12
28,Tamaulipas,19
29,Tlaxcala,8
30,Veracruz,34
31,Yucatán,10
